time_for_record_entry,number_of_project_entry_records,number_of_project_exit_records,population,start_date,end_date,question
7-10 days,22,14,data_quality,2017-03-01,2017-03-31,Q6e
11+ days,58,54,data_quality,2017-03-01,2017-03-31,Q6e
0 days,62,76,data_quality,2017-04-01,2017-04-30,Q6e
1-3 days,23,17,data_quality,2017-04-01,2017-04-30,Q6e
4-6 days,24,9,data_quality,2017-04-01,2017-04-30,Q6e
7-10 days,5,3,data_quality,2017-04-01,2017-04-30,Q6e
11+ days,31,33,data_quality,2017-04-01,2017-04-30,Q6e
0 days,50,30,data_quality,2017-05-01,2017-05-31,Q6e
1-3 days,16,0,data_quality,2017-05-01,2017-05-31,Q6e
4-6 days,0,4,data_quality,2017-05-01,2017-05-31,Q6e
7-10 days,11,2,data_quality,2017-05-01,2017-05-31,Q6e
11+ days,50,31,data_quality,2017-05-01,2017-05-31,Q6e
0 days,53,21,data_quality,2017-06-01,2017-06-30,Q6e
1-3 days,1,0,data_quality,2017-06-01,2017-06-30,Q6e
4-6 days,5,3,data_quality,2017-06-01,2017-06-30,Q6e
7-10 days,3,1,data_quality,2017-06-01,2017-06-30,Q6e
11+ days,56,37,data_quality,2017-06-01,2017-06-30,Q6e
0 days,60,32,data_quality,2017-07-01,2017-07-31,Q6e
1-3 days,10,6,data_quality,2017-07-01,2017-07-31,Q6e
4-6 days,2,6,data_quality,2017-07-01,2017-07-31,Q6e
7-10 days,4,5,data_quality,2017-07-01,2017-07-31,Q6e
11+ days,61,50,data_quality,2017-07-01,2017-07-31,Q6e
0 days,62,95,data_quality,2017-08-01,2017-08-31,Q6e
1-3 days,34,3,data_quality,2017-08-01,2017-08-31,Q6e
4-6 days,5,3,data_quality,2017-08-01,2017-08-31,Q6e
7-10 days,9,6,data_quality,2017-08-01,2017-08-31,Q6e
11+ days,31,63,data_quality,2017-08-01,2017-08-31,Q6e
0 days,41,61,data_quality,2017-09-01,2017-09-30,Q6e
1-3 days,17,14,data_quality,2017-09-01,2017-09-30,Q6e
4-6 days,7,13,data_quality,2017-09-01,2017-09-30,Q6e
7-10 days,17,7,data_quality,2017-09-01,2017-09-30,Q6e
11+ days,37,84,data_quality,2017-09-01,2017-09-30,Q6e
0 days,57,20,data_quality,2017-10-01,2017-10-31,Q6e
1-3 days,9,9,data_quality,2017-10-01,2017-10-31,Q6e
4-6 days,5,5,data_quality,2017-10-01,2017-10-31,Q6e
7-10 days,13,9,data_quality,2017-10-01,2017-10-31,Q6e
11+ days,38,53,data_quality,2017-10-01,2017-10-31,Q6e
0 days,36,17,data_quality,2017-11-01,2017-11-30,Q6e
1-3 days,16,3,data_quality,2017-11-01,2017-11-30,Q6e
4-6 days,1,0,data_quality,2017-11-01,2017-11-30,Q6e
7-10 days,8,7,data_quality,2017-11-01,2017-11-30,Q6e
11+ days,122,129,data_quality,2017-11-01,2017-11-30,Q6e
0 days,36,57,data_quality,2017-12-01,2017-12-31,Q6e
1-3 days,5,2,data_quality,2017-12-01,2017-12-31,Q6e
4-6 days,5,0,data_quality,2017-12-01,2017-12-31,Q6e
7-10 days,13,9,data_quality,2017-12-01,2017-12-31,Q6e
11+ days,117,96,data_quality,2017-12-01,2017-12-31,Q6e
0 days,50,12,data_quality,2018-01-01,2018-01-31,Q6e
1-3 days,12,7,data_quality,2018-01-01,2018-01-31,Q6e
4-6 days,6,0,data_quality,2018-01-01,2018-01-31,Q6e
7-10 days,2,5,data_quality,2018-01-01,2018-01-31,Q6e
11+ days,98,83,data_quality,2018-01-01,2018-01-31,Q6e
0 days,26,18,data_quality,2018-02-01,2018-02-28,Q6e
1-3 days,17,5,data_quality,2018-02-01,2018-02-28,Q6e
4-6 days,1,2,data_quality,2018-02-01,2018-02-28,Q6e
7-10 days,5,7,data_quality,2018-02-01,2018-02-28,Q6e
11+ days,112,79,data_quality,2018-02-01,2018-02-28,Q6e
0 days,24,49,data_quality,2018-03-01,2018-03-31,Q6e
1-3 days,5,4,data_quality,2018-03-01,2018-03-31,Q6e
