summary,population,start_date,end_date,question,status,count
Average Length,all_persons,2018-08-01,2018-08-31,Q22b,leavers,86
Average Length,all_persons,2018-08-01,2018-08-31,Q22b,stayers,451
Median Length,all_persons,2018-08-01,2018-08-31,Q22b,leavers,56
Median Length,all_persons,2018-08-01,2018-08-31,Q22b,stayers,94
Average Length,all_persons,2018-09-01,2018-09-30,Q22b,leavers,149
Average Length,all_persons,2018-09-01,2018-09-30,Q22b,stayers,430
Median Length,all_persons,2018-09-01,2018-09-30,Q22b,leavers,67
Median Length,all_persons,2018-09-01,2018-09-30,Q22b,stayers,93
Average Length,all_persons,2018-10-01,2018-10-31,Q22b,leavers,63
Average Length,all_persons,2018-10-01,2018-10-31,Q22b,stayers,421
Median Length,all_persons,2018-10-01,2018-10-31,Q22b,leavers,32
Median Length,all_persons,2018-10-01,2018-10-31,Q22b,stayers,101
Average Length,all_persons,2018-11-01,2018-11-30,Q22b,leavers,59
Average Length,all_persons,2018-11-01,2018-11-30,Q22b,stayers,402
Median Length,all_persons,2018-11-01,2018-11-30,Q22b,leavers,24
Median Length,all_persons,2018-11-01,2018-11-30,Q22b,stayers,99
Average Length,all_persons,2018-12-01,2018-12-31,Q22b,leavers,31
Average Length,all_persons,2018-12-01,2018-12-31,Q22b,stayers,417
Median Length,all_persons,2018-12-01,2018-12-31,Q22b,leavers,3
Median Length,all_persons,2018-12-01,2018-12-31,Q22b,stayers,109
Average Length,all_persons,2019-01-01,2019-01-31,Q22b,leavers,35
Average Length,all_persons,2019-01-01,2019-01-31,Q22b,stayers,379
Median Length,all_persons,2019-01-01,2019-01-31,Q22b,leavers,0
Median Length,all_persons,2019-01-01,2019-01-31,Q22b,stayers,90
Average Length,all_persons,2019-02-01,2019-02-28,Q22b,leavers,22
Average Length,all_persons,2019-02-01,2019-02-28,Q22b,stayers,393
Median Length,all_persons,2019-02-01,2019-02-28,Q22b,leavers,0
Median Length,all_persons,2019-02-01,2019-02-28,Q22b,stayers,102
Average Length,all_persons,2019-03-01,2019-03-31,Q22b,leavers,40
Average Length,all_persons,2019-03-01,2019-03-31,Q22b,stayers,394
Median Length,all_persons,2019-03-01,2019-03-31,Q22b,leavers,0
Median Length,all_persons,2019-03-01,2019-03-31,Q22b,stayers,103
Average Length,all_persons,2019-04-01,2019-04-30,Q22b,leavers,22
Average Length,all_persons,2019-04-01,2019-04-30,Q22b,stayers,436
Median Length,all_persons,2019-04-01,2019-04-30,Q22b,leavers,0
Median Length,all_persons,2019-04-01,2019-04-30,Q22b,stayers,131
Average Length,all_persons,2019-05-01,2019-05-31,Q22b,leavers,27
Average Length,all_persons,2019-05-01,2019-05-31,Q22b,stayers,409
Median Length,all_persons,2019-05-01,2019-05-31,Q22b,leavers,0
Median Length,all_persons,2019-05-01,2019-05-31,Q22b,stayers,116
Average Length,all_persons,2019-06-01,2019-06-30,Q22b,leavers,46
Average Length,all_persons,2019-06-01,2019-06-30,Q22b,stayers,431
Median Length,all_persons,2019-06-01,2019-06-30,Q22b,leavers,0
Median Length,all_persons,2019-06-01,2019-06-30,Q22b,stayers,117
Average Length,all_persons,2019-07-01,2019-07-31,Q22b,leavers,32
Average Length,all_persons,2019-07-01,2019-07-31,Q22b,stayers,401
Median Length,all_persons,2019-07-01,2019-07-31,Q22b,leavers,0
Median Length,all_persons,2019-07-01,2019-07-31,Q22b,stayers,110
Average Length,all_persons,2019-08-01,2019-08-31,Q22b,leavers,25
Average Length,all_persons,2019-08-01,2019-08-31,Q22b,stayers,360
Median Length,all_persons,2019-08-01,2019-08-31,Q22b,leavers,0
Median Length,all_persons,2019-08-01,2019-08-31,Q22b,stayers,92
Average Length,all_persons,2019-09-01,2019-09-30,Q22b,leavers,32
Average Length,all_persons,2019-09-01,2019-09-30,Q22b,stayers,372
Median Length,all_persons,2019-09-01,2019-09-30,Q22b,leavers,1
Median Length,all_persons,2019-09-01,2019-09-30,Q22b,stayers,84
Average Length,all_persons,2019-10-01,2019-10-31,Q22b,leavers,38
Average Length,all_persons,2019-10-01,2019-10-31,Q22b,stayers,369
Median Length,all_persons,2019-10-01,2019-10-31,Q22b,leavers,0
Median Length,all_persons,2019-10-01,2019-10-31,Q22b,stayers,99
Average Length,all_persons,2019-11-01,2019-11-30,Q22b,leavers,27
Average Length,all_persons,2019-11-01,2019-11-30,Q22b,stayers,357
Median Length,all_persons,2019-11-01,2019-11-30,Q22b,leavers,1
Median Length,all_persons,2019-11-01,2019-11-30,Q22b,stayers,107
Average Length,all_persons,2019-12-01,2019-12-31,Q22b,leavers,43
Average Length,all_persons,2019-12-01,2019-12-31,Q22b,stayers,376
Median Length,all_persons,2019-12-01,2019-12-31,Q22b,leavers,2
Median Length,all_persons,2019-12-01,2019-12-31,Q22b,stayers,131
Average Length,all_persons,2020-01-01,2020-01-31,Q22b,leavers,26
Average Length,all_persons,2020-01-01,2020-01-31,Q22b,stayers,390
Median Length,all_persons,2020-01-01,2020-01-31,Q22b,leavers,1
Median Length,all_persons,2020-01-01,2020-01-31,Q22b,stayers,158
Average Length,all_persons,2020-02-01,2020-02-29,Q22b,leavers,33
Average Length,all_persons,2020-02-01,2020-02-29,Q22b,stayers,406
Median Length,all_persons,2020-02-01,2020-02-29,Q22b,leavers,1
Median Length,all_persons,2020-02-01,2020-02-29,Q22b,stayers,183
Average Length,all_persons,2020-03-01,2020-03-31,Q22b,leavers,42
Average Length,all_persons,2020-03-01,2020-03-31,Q22b,stayers,448
Median Length,all_persons,2020-03-01,2020-03-31,Q22b,leavers,9
Median Length,all_persons,2020-03-01,2020-03-31,Q22b,stayers,218
Average Length,all_persons,2020-04-01,2020-04-30,Q22b,leavers,46
Average Length,all_persons,2020-04-01,2020-04-30,Q22b,stayers,439
Median Length,all_persons,2020-04-01,2020-04-30,Q22b,leavers,4
Median Length,all_persons,2020-04-01,2020-04-30,Q22b,stayers,220
Average Length,all_persons,2020-05-01,2020-05-31,Q22b,leavers,30
Average Length,all_persons,2020-05-01,2020-05-31,Q22b,stayers,471
Median Length,all_persons,2020-05-01,2020-05-31,Q22b,leavers,5
Median Length,all_persons,2020-05-01,2020-05-31,Q22b,stayers,262
Average Length,all_persons,2020-06-01,2020-06-30,Q22b,leavers,50
Average Length,all_persons,2020-06-01,2020-06-30,Q22b,stayers,501
Median Length,all_persons,2020-06-01,2020-06-30,Q22b,leavers,2
Median Length,all_persons,2020-06-01,2020-06-30,Q22b,stayers,305
Average Length,all_persons,2020-07-01,2020-07-31,Q22b,leavers,37
Average Length,all_persons,2020-07-01,2020-07-31,Q22b,stayers,533
Median Length,all_persons,2020-07-01,2020-07-31,Q22b,leavers,0
Median Length,all_persons,2020-07-01,2020-07-31,Q22b,stayers,336
Average Length,all_persons,2020-08-01,2020-08-31,Q22b,leavers,26
Average Length,all_persons,2020-08-01,2020-08-31,Q22b,stayers,509
Median Length,all_persons,2020-08-01,2020-08-31,Q22b,leavers,0
Median Length,all_persons,2020-08-01,2020-08-31,Q22b,stayers,325
Average Length,all_persons,2020-09-01,2020-09-30,Q22b,leavers,36
Average Length,all_persons,2020-09-01,2020-09-30,Q22b,stayers,527
Median Length,all_persons,2020-09-01,2020-09-30,Q22b,leavers,0
Median Length,all_persons,2020-09-01,2020-09-30,Q22b,stayers,344
Average Length,all_persons,2020-10-01,2020-10-31,Q22b,leavers,23
Average Length,all_persons,2020-10-01,2020-10-31,Q22b,stayers,522
Median Length,all_persons,2020-10-01,2020-10-31,Q22b,leavers,0
Median Length,all_persons,2020-10-01,2020-10-31,Q22b,stayers,331
Average Length,all_persons,2020-11-01,2020-11-30,Q22b,leavers,19
Average Length,all_persons,2020-11-01,2020-11-30,Q22b,stayers,497
Median Length,all_persons,2020-11-01,2020-11-30,Q22b,leavers,0
Median Length,all_persons,2020-11-01,2020-11-30,Q22b,stayers,300
Average Length,all_persons,2020-12-01,2020-12-31,Q22b,leavers,96
Average Length,all_persons,2020-12-01,2020-12-31,Q22b,stayers,497
Median Length,all_persons,2020-12-01,2020-12-31,Q22b,leavers,9
Median Length,all_persons,2020-12-01,2020-12-31,Q22b,stayers,272
Average Length,all_persons,2021-01-01,2021-01-31,Q22b,leavers,33
Average Length,all_persons,2021-01-01,2021-01-31,Q22b,stayers,520
Median Length,all_persons,2021-01-01,2021-01-31,Q22b,leavers,1
Median Length,all_persons,2021-01-01,2021-01-31,Q22b,stayers,303
Average Length,all_persons,2021-02-01,2021-02-28,Q22b,leavers,54
Average Length,all_persons,2021-02-01,2021-02-28,Q22b,stayers,542
Median Length,all_persons,2021-02-01,2021-02-28,Q22b,leavers,11
Median Length,all_persons,2021-02-01,2021-02-28,Q22b,stayers,338
Average Length,all_persons,2021-03-01,2021-03-31,Q22b,leavers,46
Average Length,all_persons,2021-03-01,2021-03-31,Q22b,stayers,568
Median Length,all_persons,2021-03-01,2021-03-31,Q22b,leavers,1
Median Length,all_persons,2021-03-01,2021-03-31,Q22b,stayers,376
Average Length,all_persons,2021-04-01,2021-04-30,Q22b,leavers,55
Average Length,all_persons,2021-04-01,2021-04-30,Q22b,stayers,617
Median Length,all_persons,2021-04-01,2021-04-30,Q22b,leavers,8
Median Length,all_persons,2021-04-01,2021-04-30,Q22b,stayers,437
Average Length,all_persons,2021-05-01,2021-05-31,Q22b,leavers,55
Average Length,all_persons,2021-05-01,2021-05-31,Q22b,stayers,637
Median Length,all_persons,2021-05-01,2021-05-31,Q22b,leavers,10
Median Length,all_persons,2021-05-01,2021-05-31,Q22b,stayers,465
Average Length,all_persons,2021-06-01,2021-06-30,Q22b,leavers,120
Average Length,all_persons,2021-06-01,2021-06-30,Q22b,stayers,659
Median Length,all_persons,2021-06-01,2021-06-30,Q22b,leavers,22
Median Length,all_persons,2021-06-01,2021-06-30,Q22b,stayers,512
Average Length,all_persons,2021-07-01,2021-07-31,Q22b,leavers,25
Average Length,all_persons,2021-07-01,2021-07-31,Q22b,stayers,631
Median Length,all_persons,2021-07-01,2021-07-31,Q22b,leavers,0
Median Length,all_persons,2021-07-01,2021-07-31,Q22b,stayers,465
Average Length,all_persons,2021-08-01,2021-08-31,Q22b,leavers,43
Average Length,all_persons,2021-08-01,2021-08-31,Q22b,stayers,611
Median Length,all_persons,2021-08-01,2021-08-31,Q22b,leavers,0
Median Length,all_persons,2021-08-01,2021-08-31,Q22b,stayers,397
Average Length,all_persons,2021-09-01,2021-09-30,Q22b,leavers,25
Average Length,all_persons,2021-09-01,2021-09-30,Q22b,stayers,584
Median Length,all_persons,2021-09-01,2021-09-30,Q22b,leavers,0
Median Length,all_persons,2021-09-01,2021-09-30,Q22b,stayers,393
Average Length,all_persons,2021-10-01,2021-10-31,Q22b,leavers,23
Average Length,all_persons,2021-10-01,2021-10-31,Q22b,stayers,574
Median Length,all_persons,2021-10-01,2021-10-31,Q22b,leavers,0
Median Length,all_persons,2021-10-01,2021-10-31,Q22b,stayers,360
Average Length,all_persons,2021-11-01,2021-11-30,Q22b,leavers,19
Average Length,all_persons,2021-11-01,2021-11-30,Q22b,stayers,534
Median Length,all_persons,2021-11-01,2021-11-30,Q22b,leavers,1
Median Length,all_persons,2021-11-01,2021-11-30,Q22b,stayers,194
Average Length,all_persons,2021-12-01,2021-12-31,Q22b,leavers,34
Average Length,all_persons,2021-12-01,2021-12-31,Q22b,stayers,531
Median Length,all_persons,2021-12-01,2021-12-31,Q22b,leavers,2
Median Length,all_persons,2021-12-01,2021-12-31,Q22b,stayers,172
Average Length,all_persons,2022-01-01,2022-01-31,Q22b,leavers,53
Average Length,all_persons,2022-01-01,2022-01-31,Q22b,stayers,542
Median Length,all_persons,2022-01-01,2022-01-31,Q22b,leavers,4
Median Length,all_persons,2022-01-01,2022-01-31,Q22b,stayers,195
Average Length,all_persons,2022-02-01,2022-02-28,Q22b,leavers,44
Average Length,all_persons,2022-02-01,2022-02-28,Q22b,stayers,540
Median Length,all_persons,2022-02-01,2022-02-28,Q22b,leavers,0
Median Length,all_persons,2022-02-01,2022-02-28,Q22b,stayers,209
Average Length,all_persons,2022-03-01,2022-03-31,Q22b,leavers,31
Average Length,all_persons,2022-03-01,2022-03-31,Q22b,stayers,539
Median Length,all_persons,2022-03-01,2022-03-31,Q22b,leavers,1
Median Length,all_persons,2022-03-01,2022-03-31,Q22b,stayers,226
Average Length,all_persons,2022-04-01,2022-04-30,Q22b,leavers,58
Average Length,all_persons,2022-04-01,2022-04-30,Q22b,stayers,553
Median Length,all_persons,2022-04-01,2022-04-30,Q22b,leavers,1
Median Length,all_persons,2022-04-01,2022-04-30,Q22b,stayers,246
Average Length,all_persons,2022-05-01,2022-05-31,Q22b,leavers,27
Average Length,all_persons,2022-05-01,2022-05-31,Q22b,stayers,566
Median Length,all_persons,2022-05-01,2022-05-31,Q22b,leavers,0
Median Length,all_persons,2022-05-01,2022-05-31,Q22b,stayers,267
Average Length,all_persons,2022-06-01,2022-06-30,Q22b,leavers,27
Average Length,all_persons,2022-06-01,2022-06-30,Q22b,stayers,565
Median Length,all_persons,2022-06-01,2022-06-30,Q22b,leavers,0
Median Length,all_persons,2022-06-01,2022-06-30,Q22b,stayers,268
Average Length,all_persons,2022-07-01,2022-07-31,Q22b,leavers,18
Average Length,all_persons,2022-07-01,2022-07-31,Q22b,stayers,580
Median Length,all_persons,2022-07-01,2022-07-31,Q22b,leavers,0
Median Length,all_persons,2022-07-01,2022-07-31,Q22b,stayers,297
Average Length,all_persons,2022-08-01,2022-08-31,Q22b,leavers,5
Average Length,all_persons,2022-08-01,2022-08-31,Q22b,stayers,596
Median Length,all_persons,2022-08-01,2022-08-31,Q22b,leavers,0
Median Length,all_persons,2022-08-01,2022-08-31,Q22b,stayers,321
